Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,..,..,877.01,927.86,925.44,1023.05,1077.76,1228.70,1272.57,1519.69,1710.58,1699.49,1914.77,2015.51,2069.42,2087.31,1981.12,2058.40,2082.64,2152.37,2078.65
Albania,3860.80,4299.55,4661.40,5000.05,5427.73,5865.30,6566.57,7283.34,8228.35,8813.03,9628.72,10207.77,10526.26,10570.96,11259.27,11658.91,12078.84,12770.96,13498.12,13998.03,13412.10
Algeria,8446.59,8775.12,9293.84,10019.36,10591.04,11405.64,11776.04,12311.04,12643.15,12722.38,13095.45,13500.04,13303.33,13056.80,13003.27,12015.64,11624.34,11737.40,11909.93,12009.25,11324.24
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,3289.41,3389.20,3785.15,3838.80,4225.47,4837.71,5362.02,6050.61,6607.29,6470.68,6587.99,6710.75,7412.97,7682.48,8179.30,7337.57,7103.23,7310.90,7099.97,6952.42,6445.43
Antigua and Barbuda,16843.12,16173.33,16367.73,17458.88,18718.37,20269.69,23180.40,25613.55,25690.69,22435.39,20611.45,20347.87,19598.02,18797.63,19039.00,18911.31,19920.27,19840.28,21521.89,22774.17,18241.87
Argentina,11618.79,11226.88,10052.49,11025.19,12214.74,13568.77,14951.73,16570.01,17404.07,16334.74,18061.93,19322.23,19641.35,20131.68,19683.77,20105.20,20307.87,23597.12,23293.40,22999.28,20770.73
Armenia,2658.34,2995.91,3463.99,4043.66,4614.87,5455.43,6411.82,7551.64,8300.49,7233.04,7506.32,8025.46,9364.38,9835.80,10036.89,9969.66,10704.23,12115.14,13020.40,14231.18,13312.11
Aruba,32026.97,31064.36,29847.93,30356.05,33050.90,34051.49,35168.56,36619.59,37247.98,33553.88,32625.49,34324.80,33567.55,36829.03,36779.43,37311.75,37585.03,38897.12,..,..,..
Australia,26343.08,27439.83,28768.73,29807.41,31407.46,32653.40,34369.62,36599.85,37499.53,40281.80,39336.66,42003.16,42836.67,45906.44,46880.90,46248.62,47255.31,48398.55,50169.19,51748.40,53316.89
Austria,29376.02,29702.80,31178.69,32144.24,33773.83,35013.71,37662.19,39430.61,41316.23,40918.13,42009.44,44452.73,46457.35,47922.05,48799.72,49865.90,52684.02,54172.99,56960.09,58076.35,55685.97
Azerbaijan,3385.51,3772.94,4163.20,4638.12,5158.39,6737.15,9233.68,11718.53,12956.83,13976.11,14677.16,14804.57,15957.72,17188.95,17443.88,14938.40,14371.02,14121.41,14550.76,15052.79,14479.71
"Bahamas, The",28034.20,28956.90,29715.70,29363.12,29869.41,31261.77,32401.63,33117.61,32373.49,30728.82,31090.58,31522.02,32216.70,31650.44,33248.11,33937.42,34338.52,35917.76,37416.97,37973.25,32538.57
Bahrain,42181.91,42094.58,41932.58,42860.48,44185.34,45400.85,46200.64,47532.86,47847.62,46498.84,46872.95,47377.50,50675.62,51494.41,51101.98,45575.78,44768.97,47709.78,47503.06,47228.10,43755.86
Bangladesh,1331.55,1403.13,1453.26,1523.80,1620.43,1753.87,1901.72,2065.15,2206.51,2309.56,2439.07,2620.83,2937.63,3143.59,3368.06,3555.51,3848.96,4160.70,4547.48,4954.76,5138.65
Barbados,12705.12,12630.94,12887.83,13368.35,13873.90,14816.12,16098.21,16820.35,17190.95,16374.52,16127.81,16304.38,15310.11,15334.83,15175.50,15510.66,15951.96,15789.04,16051.26,16300.42,13349.57
Belarus,5808.36,6248.21,6709.85,7367.19,8489.48,9642.43,10994.77,12317.46,13885.75,14054.11,15360.15,16563.20,18105.29,18994.19,19008.06,18095.67,17785.94,18356.10,19430.28,20094.53,20239.20
Belgium,27784.57,28788.06,30282.29,30932.85,32063.08,33177.89,35259.19,36791.20,37883.33,37749.51,39840.09,40942.37,42290.76,43671.12,44929.69,46200.90,48597.40,50442.27,52528.12,54269.51,53088.97
Belize,5558.97,5765.98,5963.26,6467.38,6781.22,6945.27,7306.61,7347.22,7554.69,7438.92,7563.90,7684.83,7272.84,7227.21,7190.09,7235.71,7236.93,7193.63,7436.05,7558.57,6457.64
Benin,1759.72,1837.81,1895.00,1936.88,2015.64,2052.53,2135.26,2258.49,2347.92,2353.63,2364.12,2416.33,2498.50,2669.69,2833.41,2886.83,3004.81,3044.52,3236.67,3426.33,3505.42
Bermuda,53983.11,58516.59,58183.95,60886.12,63560.14,66207.25,71580.62,75534.98,75121.65,71040.17,70620.08,69998.84,67453.82,68993.23,68775.45,71873.23,76362.05,81834.96,83377.06,85263.76,80829.62
Bhutan,2696.38,2923.12,3229.51,3480.08,3723.46,4056.15,4412.51,5302.73,5608.49,5972.87,6693.52,7295.85,7912.14,7989.69,8666.46,9500.65,10457.24,11142.47,11620.92,12366.53,11130.22
Bolivia,3437.62,3504.74,3580.81,3677.64,3863.45,4086.38,4335.38,4575.66,4868.44,4986.46,5167.11,5460.26,5921.65,6624.81,7056.83,7133.87,7499.77,8423.70,8863.35,9093.43,8275.49
Bosnia and Herzegovina,4598.16,4791.90,5196.53,5461.78,5949.36,6479.65,7414.02,8196.50,9028.86,9028.63,9348.26,9976.49,10304.02,11016.55,11433.19,12010.76,13072.18,13753.84,14918.48,15711.39,15591.63
Botswana,8461.97,8507.00,9004.95,9431.87,9772.38,10339.50,11311.76,12311.81,13055.49,11912.92,12862.49,13729.86,13091.98,14168.08,15702.87,14639.56,16638.52,15948.03,16611.90,17039.26,15458.48
Brazil,9060.79,9260.77,9568.07,9733.77,10445.35,10988.96,11642.45,12549.93,13312.77,13269.12,14299.56,15040.06,15046.29,15588.73,15718.56,14744.11,14256.16,14524.61,15020.44,15388.23,14835.41
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,66439.14,68349.93,70717.78,72755.32,73808.32,75214.17,79772.89,81012.99,80036.75,78298.52,80280.02,83935.23,88245.96,83788.51,81371.23,62540.63,56297.23,60994.53,61839.12,64724.13,65612.70
Bulgaria,6421.96,6958.98,7786.45,8416.98,9201.50,10291.44,11408.12,12811.36,14335.71,14181.15,14956.49,15747.09,16327.87,16647.01,17616.91,18391.93,20074.38,21469.95,23015.86,24497.63,24564.26
Burkina Faso,921.94,976.16,1005.43,1072.47,1117.46,1215.57,1291.49,1339.74,1401.96,1411.13,1502.10,1586.57,1619.40,1683.11,1692.30,1713.52,1895.30,2044.39,2168.66,2267.51,2274.02
Burundi,527.08,537.36,554.94,541.76,565.04,569.27,598.51,615.23,636.33,644.11,663.05,681.97,690.69,740.98,777.04,841.65,796.94,773.57,779.81,783.45,771.16
Cabo Verde,3032.20,3113.16,3273.95,3420.20,3813.69,4146.07,4552.23,5316.85,5711.28,5613.75,5692.55,5966.85,5818.90,5792.92,5748.10,5994.41,6322.91,6643.18,7028.99,7475.12,6376.64
Cambodia,1075.41,1164.58,1237.65,1344.62,1499.09,1723.31,1936.88,2159.62,2314.46,2299.39,2427.24,2611.31,2868.74,3045.59,3185.34,3388.74,3675.04,3928.37,4259.20,4574.40,4421.48
Cameroon,2028.83,2106.63,2177.17,2276.83,2436.46,2499.67,2601.50,2711.61,2765.93,2781.29,2816.80,2892.45,2958.69,3129.86,3312.54,3395.63,3527.17,3665.12,3800.97,3901.14,3867.52
Canada,29362.08,30230.80,30963.05,32349.94,33925.71,36327.23,38119.41,39575.31,40376.31,38865.41,40099.45,41666.71,42290.97,44298.58,45753.75,44670.08,46472.34,48317.17,49992.76,49299.21,46572.14
Cayman Islands,..,..,..,..,..,..,71406.66,73399.69,72406.34,65886.33,63298.18,64014.74,62795.90,62440.01,63067.42,64233.53,66639.55,69753.09,73507.57,76747.67,71594.04
Central African Republic,674.44,704.22,725.61,684.96,730.75,745.57,789.21,831.61,849.94,916.19,958.92,1012.66,1102.03,738.47,720.32,787.01,851.07,912.80,955.51,985.11,987.64
Chad,765.58,841.13,891.92,1002.80,1325.10,1545.74,1547.59,1586.40,1612.15,1637.80,1819.70,1797.75,1730.79,1569.06,1677.09,1820.06,1664.51,1587.03,1614.17,1646.43,1602.36
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,9538.08,9962.27,10319.95,10839.96,11810.24,12746.59,15753.96,16941.83,16501.81,16159.61,18161.81,20342.56,21507.69,22439.27,22786.64,22698.55,23437.59,24470.70,25714.14,25395.50,25110.16
China,2920.56,3210.01,3534.85,3937.31,4425.87,5053.95,5836.57,6810.60,7574.22,8307.85,9253.77,10292.94,11168.70,11872.50,12480.34,12897.50,13483.38,14243.53,15497.36,16653.34,17210.76
Colombia,6690.37,6843.74,7018.08,7319.54,7806.05,8324.75,9035.57,9781.97,10179.24,10258.97,10731.65,11604.10,12018.65,12727.76,13307.42,13265.80,13812.10,14171.32,15044.06,15688.63,14931.05
Comoros,1801.76,1838.36,1865.27,1894.20,1936.01,2004.64,2069.88,2091.74,2165.08,2197.81,2252.88,2337.03,2511.51,2636.47,2716.83,2709.56,2863.85,3032.26,3146.90,3188.18,3153.13
"Congo, Dem. Rep.",447.08,435.08,441.82,460.77,489.42,518.84,545.15,575.75,603.29,604.84,633.91,668.94,669.57,753.49,849.76,905.45,963.67,1059.81,1111.97,1144.38,1141.82
"Congo, Rep.",3699.23,3813.75,3938.43,3929.60,4052.51,4363.25,4695.69,4350.75,4555.99,4959.40,5349.83,5428.24,6335.79,6069.00,5931.13,4639.74,3839.96,4234.66,4022.75,3987.49,3622.32
Costa Rica,7838.44,8142.67,8414.66,8805.39,9305.99,9836.96,10727.20,11760.07,12392.29,12219.94,12863.85,13545.93,14321.52,15005.92,16067.33,17090.80,19075.00,20347.03,21319.04,22511.30,22132.47
Cote d'Ivoire,3273.83,3196.19,3088.72,2934.72,3045.54,3105.32,3219.15,3269.46,3415.09,3484.51,3679.60,3470.93,3558.63,3867.32,4319.58,4652.89,4726.98,4830.75,5154.33,5432.99,5465.51
Croatia,10683.60,11655.64,12769.78,13682.12,14675.26,15436.64,17595.76,19493.24,20921.54,20149.51,19967.21,21014.74,21397.49,22081.10,22325.08,23301.27,25210.98,27154.08,28877.24,30544.00,28780.21
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,22701.96,23897.75,24342.34,24358.35,24637.58,24932.89,25445.70,26251.05,27005.29,26890.92,26884.27,27224.40,26175.49,25921.16,25379.30,25090.21,24808.40,25475.49,25656.46,25530.21,21423.08
Cyprus,21288.51,22861.89,23556.41,24279.68,25944.85,27763.15,30015.41,32881.55,34830.24,33884.88,33423.50,33313.58,31834.52,30375.09,30080.23,31815.27,35719.19,38287.97,40559.08,42339.02,39373.41
Czech Republic,16235.48,17621.05,18252.57,19538.07,20932.08,22095.39,23923.70,26282.38,27974.49,27761.51,27881.97,29001.37,29254.73,30818.11,32502.48,33899.29,36097.71,38824.89,41135.49,42847.00,41608.03
Denmark,28658.12,29437.31,30640.35,30820.39,32938.69,34150.16,37334.39,39006.20,41278.33,40331.41,43003.05,44403.38,44803.97,46726.85,47901.45,49045.34,51976.01,55356.68,57482.96,58700.97,60229.91
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,4103.94,4289.03,4574.45,4692.55,4885.21,5339.26,5768.83,5781.76
