Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.01,..,0.00,0.00,0.00,0.02,0.02,0.03,0.04,0.05,0.07
Albania,..,..,..,..,..,0.01,..,0.33,2.13,3.09,3.58,4.38,5.49,6.29,7.18,8.40,9.23,10.53,12.56,15.14,17.68
Algeria,..,..,..,0.06,0.11,0.41,0.51,0.84,1.40,2.32,2.50,2.68,3.09,3.36,4.11,5.71,7.05,7.76,7.26,8.32,8.64
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,1.64,4.92,8.24,13.11,18.05,22.41,24.65,27.16,29.01,30.76,32.64,34.34,36.32,39.35,42.03,44.52,46.31,47.13,47.89
Angola,..,..,..,..,..,..,0.04,0.06,0.07,0.07,0.06,0.07,0.08,0.09,0.33,0.55,0.29,0.33,0.36,0.37,0.70
Antigua and Barbuda,..,..,..,..,2.07,7.12,1.86,2.70,5.84,18.46,8.09,6.72,14.46,17.10,11.62,10.69,9.80,9.43,..,8.24,8.17
Argentina,..,0.25,0.39,0.68,1.41,2.38,4.03,6.55,7.77,8.67,9.85,11.06,12.33,14.81,15.29,15.92,16.67,17.85,19.10,19.64,21.18
Armenia,..,0.00,0.00,0.00,0.03,0.07,..,0.13,0.47,1.38,3.25,5.58,7.35,8.39,9.37,9.79,10.19,10.71,11.77,13.04,14.52
Aruba,..,..,..,1.44,7.05,12.27,13.84,15.80,18.15,18.53,18.90,..,..,18.61,18.50,18.21,..,..,..,17.87,17.80
Australia,..,0.64,1.33,2.63,5.09,9.99,19.00,..,24.92,24.00,24.87,24.63,25.04,25.72,27.70,28.53,30.39,32.22,33.85,34.93,35.68
Austria,2.36,3.96,5.54,7.35,10.59,14.22,17.28,19.51,20.73,22.44,24.38,24.81,25.05,26.09,27.38,28.29,28.85,28.47,28.36,28.13,28.93
Azerbaijan,..,..,0.01,..,..,0.03,0.05,0.17,0.68,1.12,5.26,10.65,14.78,18.24,19.97,19.74,18.53,18.34,19.01,19.34,19.68
"Bahamas, The",..,1.37,2.45,3.49,4.01,4.12,5.01,6.08,7.42,9.04,6.96,4.31,21.43,19.74,20.82,21.65,22.52,22.75,21.06,21.13,21.11
Bahrain,..,0.17,0.68,1.25,1.80,2.41,4.03,6.59,8.40,11.77,12.48,22.81,22.72,22.82,21.52,18.45,16.30,13.00,8.05,8.59,8.75
Bangladesh,..,..,..,..,..,..,..,0.03,0.03,0.22,0.28,0.31,0.40,1.00,2.00,3.13,4.17,4.57,4.99,4.96,6.10
Barbados,..,..,..,9.96,10.76,11.56,13.98,16.91,17.58,20.39,19.92,22.13,23.58,23.85,27.29,27.43,30.40,31.21,31.17,37.21,44.54
Belarus,..,..,0.00,0.00,0.01,0.02,0.12,1.79,5.06,11.58,17.69,22.28,26.89,29.56,28.46,30.76,32.48,33.47,33.87,34.01,34.45
Belgium,1.40,4.46,7.87,11.93,15.46,19.06,23.09,25.52,27.67,29.04,30.84,32.18,33.31,34.33,35.75,36.51,37.61,38.35,39.22,39.78,40.85
Belize,..,..,..,0.35,1.02,1.77,2.49,2.50,2.62,2.65,2.76,2.94,2.95,2.86,2.80,4.82,4.99,5.06,6.44,7.58,9.05
Benin,..,..,0.00,0.00,0.00,0.00,0.02,0.01,0.10,0.21,0.29,0.40,0.43,0.42,0.44,0.69,0.21,0.26,0.24,0.22,0.25
Bermuda,..,..,..,..,..,27.90,35.69,43.55,51.50,60.91,61.33,..,..,62.28,54.24,47.10,35.98,36.18,..,36.80,36.93
Bhutan,..,..,..,..,..,..,..,..,0.31,0.50,1.27,1.91,2.39,2.88,3.47,3.83,2.24,2.24,1.43,1.15,0.41
Bolivia,..,..,0.04,0.06,0.10,0.14,0.19,0.36,0.82,0.97,0.95,0.72,1.12,1.46,1.61,1.66,2.61,3.39,4.44,6.49,7.98
Bosnia and Herzegovina,0.00,0.00,0.01,0.04,0.18,0.36,1.06,2.25,5.02,7.82,10.55,11.75,13.02,14.57,15.58,18.52,19.56,20.90,21.55,22.60,23.48
Botswana,..,..,..,..,..,0.09,0.10,0.19,0.46,0.51,0.60,0.95,1.09,1.05,1.59,1.74,2.73,1.47,1.78,2.14,11.04
Brazil,0.06,0.19,0.41,0.53,1.72,1.74,2.53,4.00,5.22,6.05,7.20,9.03,9.59,10.63,11.82,12.46,13.03,13.91,14.91,15.59,17.10
British Virgin Islands,..,..,..,..,..,..,..,..,..,28.44,24.75,25.78,25.95,21.43,22.05,22.85,21.18,16.92,15.82,19.74,22.29
Brunei Darussalam,..,0.56,0.80,1.09,1.74,2.23,2.42,3.10,4.45,5.22,5.58,5.89,4.97,6.81,7.38,8.30,8.60,9.68,11.53,12.51,16.25
Bulgaria,..,..,..,..,0.09,2.15,5.04,8.30,11.21,13.35,15.15,17.03,18.16,19.50,20.44,22.42,23.74,25.30,27.00,28.78,30.44
Burkina Faso,..,..,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.08,0.09,0.09,0.09,0.08,0.03,0.05,0.07,0.06,0.07,0.06,0.07
Burundi,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.03,0.04
Cabo Verde,..,..,..,..,0.06,0.20,0.39,0.81,1.53,2.25,3.26,4.28,3.93,4.14,3.68,3.16,2.93,2.79,2.88,3.68,4.47
Cambodia,..,..,0.00,0.00,0.01,0.01,0.02,0.06,0.12,0.21,0.25,0.15,0.20,0.22,0.43,0.54,0.62,0.83,1.02,1.12,1.40
Cameroon,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.06,0.08,0.07,0.09,1.52,1.56,1.57,1.55,2.72
Canada,4.61,9.18,11.27,14.33,17.02,21.78,24.72,27.56,29.52,30.49,31.68,32.67,33.47,34.27,35.24,36.40,36.79,37.91,38.96,40.48,41.93
Cayman Islands,..,..,..,..,..,..,..,..,32.56,33.07,33.27,32.51,32.78,33.93,38.57,44.36,39.21,49.28,..,78.52,48.69
Central African Republic,..,..,..,..,..,..,..,..,..,..,..,0.02,0.01,..,..,0.04,0.02,0.01,0.01,0.01,..
Chad,..,..,..,..,..,..,..,..,..,0.00,0.00,0.13,0.15,0.11,0.07,0.08,0.04,0.00,0.00,0.00,0.00
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,0.05,0.43,1.20,2.22,2.99,4.38,6.19,7.88,8.54,9.80,10.49,11.67,12.45,13.06,14.02,15.13,15.95,16.58,17.36,18.10,19.69
China,0.00,0.03,0.25,0.85,1.88,2.81,3.80,4.93,6.12,7.64,9.23,11.37,12.66,13.57,14.33,19.69,22.81,27.74,28.54,31.34,33.60
Colombia,0.02,0.03,0.09,0.16,0.30,0.75,1.45,2.76,4.00,4.73,5.84,7.33,8.55,9.76,10.71,11.63,12.27,12.94,13.45,13.81,15.26
Comoros,..,..,..,..,0.00,0.00,..,0.01,0.02,0.01,0.05,0.06,0.17,0.18,0.21,0.21,0.21,0.20,0.18,0.15,0.12
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,0.00,..,..,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03
"Congo, Rep.",..,..,..,..,..,..,..,..,..,0.00,0.01,0.03,0.03,0.01,0.01,..,..,..,..,..,0.02
Costa Rica,..,..,0.22,0.36,0.66,1.05,1.92,2.16,2.46,4.04,8.66,9.06,9.57,10.23,10.77,11.52,13.04,15.03,16.70,17.92,19.49
Cote d'Ivoire,..,..,..,0.00,0.00,0.01,0.05,0.05,0.05,0.05,..,..,0.21,0.25,0.56,0.47,0.57,0.58,0.70,0.84,0.99
Croatia,..,..,..,0.08,0.60,2.65,5.76,8.87,12.13,16.52,19.36,20.70,21.40,22.32,23.13,23.30,24.80,26.20,27.15,27.96,25.11
Cuba,..,..,..,..,..,..,..,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.07,0.13,0.30,0.87,1.61,2.05
Curacao,..,..,..,..,..,..,..,..,..,..,..,20.88,22.98,23.60,24.41,25.02,26.52,30.46,31.85,32.61,33.52
Cyprus,..,0.35,0.82,1.39,2.33,4.28,8.32,12.57,18.48,21.49,23.15,24.61,25.47,26.71,28.76,30.72,32.58,34.21,35.79,36.78,37.40
Czech Republic,0.02,0.06,0.15,0.34,2.30,6.91,10.80,14.45,16.88,19.41,21.46,23.75,25.11,26.98,28.28,27.79,28.91,29.57,30.22,34.98,35.91
Denmark,1.25,4.44,8.40,13.33,18.83,24.79,31.87,34.80,36.48,36.60,38.03,38.39,38.84,40.30,41.34,42.28,43.10,43.82,44.09,43.95,44.72
Djibouti,0.00,0.00,0.00,..,..,0.01,0.02,0.14,0.30,0.64,0.96,1.32,1.72,2.00,2.24,2.64,2.61,2.58,2.66,2.51,2.54
Dominica,0.11,0.25,3.20,3.78,4.62,4.82,6.08,7.06,9.88,10.30,11.73,11.71,11.98,15.02,15.17,21.30,21.72,21.58,16.08,21.17,22.23
Dominican Republic,..,..,..,0.17,0.42,0.67,1.12,1.86,2.53,3.30,4.03,4.32,4.87,5.24,5.90,6.67,7.32,7.81,8.10,8.66,9.51
Ecuador,..,0.02,0.05,0.05,0.09,0.19,0.33,0.70,1.07,1.63,1.47,4.32,5.45,6.74,8.27,9.18,9.76,10.60,11.44,12.04,13.44
"Egypt, Arab Rep.",..,..,0.07,0.08,0.11,0.19,0.34,0.61,0.97,1.33,1.75,2.18,2.65,3.03,3.39,4.14,4.73,5.43,6.73,7.57,9.14
El Salvador,..,..,..,0.33,0.49,0.70,1.01,1.47,2.01,2.43,2.83,3.32,3.88,4.54,5.07,5.58,6.22,7.06,7.67,8.14,9.03
Equatorial Guinea,..,..,..,..,..,0.02,0.02,0.02,0.02,0.02,0.13,0.14,0.14,0.33,0.35,0.33,0.28,0.15,0.12,0.07,0.07
Eritrea,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.02,0.03,..,0.09,0.14
Estonia,..,1.26,3.36,6.58,10.17,13.22,18.29,19.71,21.99,23.47,26.12,26.28,26.41,27.36,28.19,29.67,31.48,32.47,33.35,32.53,31.33
Eswatini,..,..,..,..,..,..,..,..,0.07,0.14,0.34,0.75,0.32,0.39,0.47,0.54,0.63,0.71,..,0.87,1.03
Ethiopia,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.25,0.48,0.47,0.54,0.06,..,0.14,0.18
Faroe Islands,..,0.11,0.24,0.83,6.58,12.30,27.47,30.24,31.11,33.22,33.84,33.58,34.12,34.87,36.20,37.03,37.31,37.33,37.49,37.35,37.74
Fiji,..,..,..,..,..,0.85,1.03,1.38,1.54,1.50,2.70,2.69,1.56,1.26,1.43,1.47,1.41,1.38,2.16,2.41,2.57
Finland,0.67,2.58,5.25,9.40,15.26,22.33,27.08,30.52,30.42,29.31,29.06,29.80,30.43,31.63,32.20,31.56,31.14,31.03,31.45,32.48,33.32
France,0.33,1.01,2.77,5.92,10.81,15.50,20.67,25.46,28.66,31.74,33.93,35.98,37.73,39.03,40.45,41.68,42.80,43.92,44.78,45.69,46.92
French Polynesia,..,0.01,0.01,0.37,1.78,4.25,6.99,8.98,10.48,11.32,12.10,13.45,14.94,16.61,18.31,19.01,20.19,20.89,21.53,22.20,22.78
